,Elapsed time(seconds),SpO2(%),hr (bpm)
0,0.000, 98.000, 90.001
1,1.000, 98.000, 90.001
2,2.000, 99.000, 90.001
3,3.000, 99.000, 90.001
4,4.000, 99.000, 90.001
5,5.000, 98.000, 90.001
6,6.000, 98.000, 91.000
7,7.000, 98.000, 95.001
8,8.000, 98.000, 95.001
9,9.000, 98.000, 97.000
10,10.000, 98.000, 97.000
11,11.000, 98.000, 97.000
12,12.000, 98.000, 97.000
13,13.000, 98.000,100.001
14,14.000, 98.000,100.001
15,15.000, 98.000,100.001
16,16.000, 98.000,100.001
17,17.000, 98.000,100.001
18,18.000, 98.000,100.001
19,19.000, 98.000,100.001
20,20.000, 98.000,100.001
21,21.000, 98.000,100.001
22,22.000, 98.000,100.001
23,23.000, 98.000,100.001
24,24.000, 98.000,100.001
25,25.000, 98.000,100.001
26,26.000, 98.000,101.000
27,27.000, 98.000,101.000
28,28.000, 98.000,101.000
29,29.000, 98.000,101.000
30,30.000, 98.000,101.000
31,31.000, 98.000,101.000
32,32.000, 98.000,101.000
33,33.000, 98.000,101.000
34,34.000, 98.000,101.000
35,35.000, 98.000,101.000
36,36.000, 98.000,101.000
37,37.000, 96.000,101.000
38,38.000, 96.000,101.000
39,39.000, 96.000,101.000
40,40.000, 96.000,101.000
41,41.000, 96.000,101.000
42,42.000, 96.000,102.000
43,43.000, 96.000,101.000
44,44.000, 97.000, 97.000
45,45.000, 98.000, 91.000
46,46.000, 98.000, 89.000
47,47.000, 98.000, 88.001
48,48.000, 98.000, 89.000
49,49.000, 98.000, 89.000
50,50.000, 98.000, 88.001
51,51.000, 98.000, 85.001
52,52.000, 98.000, 82.000
53,53.000, 98.000, 79.000
54,54.000, 98.000, 78.001
55,55.000, 98.000, 82.000
56,56.000, 98.000, 82.000
57,57.000, 98.000, 87.000
58,58.000, 98.000, 88.001
59,59.000, 98.000, 90.001
60,60.000, 98.000, 88.001
61,61.000, 98.000, 87.000
62,62.000, 98.000, 86.000
63,63.000, 98.000, 89.000
64,64.000, 98.000, 89.000
65,65.000, 98.000, 91.000
66,66.000, 98.000, 91.000
67,67.000, 98.000, 90.001
68,68.000, 98.000, 90.001
69,69.000, 98.000, 90.001
70,70.000, 98.000, 88.001
71,71.000, 98.000, 87.000
72,72.000, 98.000, 85.001
73,73.000, 98.000, 83.001
74,74.000, 98.000, 82.000
75,75.000, 98.000, 81.000
76,76.000, 98.000, 80.000
77,77.000, 98.000, 79.000
78,78.000, 98.000, 79.000
79,79.000, 98.000, 79.000
80,80.000, 98.000, 80.000
81,81.000, 98.000, 80.000
82,82.000, 98.000, 80.000
83,83.000, 98.000, 79.000
84,84.000, 98.000, 78.001
85,85.000, 98.000, 77.000
86,86.000, 98.000, 76.001
87,87.000, 98.000, 76.001
88,88.000, 98.000, 76.001
89,89.000, 98.000, 76.001
90,90.000, 98.000, 76.001
91,91.000, 98.000, 77.000
92,92.000, 98.000, 77.000
93,93.000, 98.000, 77.000
94,94.000, 98.000, 77.000
95,95.000, 98.000, 78.001
96,96.000, 98.000, 78.001
97,97.000, 98.000, 80.000
98,98.000, 98.000, 81.000
99,99.000, 97.000, 80.000
100,100.000, 97.000, 80.000
101,101.000, 97.000, 79.000
102,102.000, 97.000, 80.000
103,103.000, 97.000, 80.000
104,104.000, 97.000, 82.000
105,105.000, 97.000, 82.000
106,106.000, 97.000, 83.001
107,107.000, 97.000, 83.001
108,108.000, 97.000, 83.001
109,109.000, 97.000, 82.000
110,110.000, 97.000, 83.001
111,111.000, 97.000, 83.001
112,112.000, 97.000, 82.000
113,113.000, 97.000, 82.000
114,114.000, 97.000, 81.000
115,115.000, 97.000, 81.000
116,116.000, 97.000, 81.000
117,117.000, 97.000, 81.000
118,118.000, 97.000, 81.000
119,119.000, 97.000, 81.000
120,120.000, 98.000, 82.000
121,121.000, 98.000, 82.000
122,122.000, 98.000, 81.000
123,123.000, 98.000, 81.000
124,124.000, 98.000, 81.000
125,125.000, 98.000, 81.000
126,126.000, 98.000, 81.000
127,127.000, 98.000, 81.000
128,128.000, 98.000, 82.000
129,129.000, 98.000, 83.001
130,130.000, 98.000, 82.000
131,131.000, 98.000, 82.000
132,132.000, 98.000, 82.000
133,133.000, 98.000, 82.000
134,134.000, 98.000, 82.000
135,135.000, 98.000, 83.001
136,136.000, 97.000, 83.001
137,137.000, 97.000, 83.001
138,138.000, 97.000, 83.001
139,139.000, 97.000, 83.001
140,140.000, 97.000, 83.001
141,141.000, 97.000, 83.001
142,142.000, 97.000, 83.001
143,143.000, 97.000, 84.000
144,144.000, 97.000, 84.000
145,145.000, 97.000, 85.001
146,146.000, 97.000, 86.000
147,147.000, 97.000, 85.001
148,148.000, 97.000, 86.000
149,149.000, 97.000, 85.001
150,150.000, 97.000, 86.000
151,151.000, 97.000, 86.000
152,152.000, 97.000, 86.000
153,153.000, 97.000, 86.000
154,154.000, 97.000, 86.000
155,155.000, 97.000, 87.000
156,156.000, 97.000, 87.000
157,157.000, 97.000, 88.001
158,158.000, 97.000, 88.001
159,159.000, 98.000, 88.001
160,160.000, 98.000, 88.001
161,161.000, 98.000, 87.000
162,162.000, 97.000, 87.000
163,163.000, 97.000, 87.000
164,164.000, 97.000, 87.000
165,165.000, 97.000, 87.000
166,166.000, 98.000, 87.000
167,167.000, 98.000, 87.000
168,168.000, 97.000, 89.000
169,169.000, 97.000, 90.001
170,170.000, 97.000, 89.000
171,171.000, 97.000, 88.001
172,172.000, 97.000, 88.001
173,173.000, 97.000, 88.001
174,174.000, 97.000, 88.001
175,175.000, 97.000, 88.001
176,176.000, 98.000, 89.000
177,177.000, 98.000, 90.001
178,178.000, 98.000, 90.001
179,179.000, 98.000, 89.000
180,180.000, 98.000, 88.001
181,181.000, 98.000, 87.000
182,182.000, 98.000, 86.000
183,183.000, 98.000, 86.000
184,184.000, 98.000, 84.000
185,185.000, 98.000, 84.000
186,186.000, 98.000, 83.001
187,187.000, 98.000, 83.001
188,188.000, 98.000, 83.001
189,189.000, 97.000, 84.000
190,190.000, 97.000, 85.001
191,191.000, 98.000, 88.001
192,192.000, 98.000, 91.000
193,193.000, 98.000, 88.001
194,194.000, 98.000, 87.000
195,195.000, 98.000, 86.000
196,196.000, 97.000, 88.001
197,197.000, 97.000, 91.000
198,198.000, 97.000, 93.001
199,199.000, 97.000, 90.001
200,200.000, 97.000, 89.000
201,201.000, 98.000, 87.000
202,202.000, 97.000, 85.001
203,203.000, 97.000, 85.001
204,204.000, 97.000, 87.000
205,205.000, 97.000, 95.001
206,206.000, 98.000, 97.000
207,207.000, 98.000, 95.001
208,208.000, 98.000, 94.000
209,209.000, 98.000, 92.000
210,210.000, 98.000, 92.000
211,211.000, 98.000, 93.001
212,212.000, 98.000, 94.000
213,213.000, 98.000, 95.001
214,214.000, 98.000, 96.000
215,215.000, 98.000, 96.000
216,216.000, 98.000, 93.001
217,217.000, 98.000, 91.000
218,218.000, 98.000, 88.001
219,219.000, 98.000, 88.001
220,220.000, 98.000, 88.001
