,Elapsed time(seconds),SpO2(%),hr (bpm)
0,0.000, 94.000, 67.000
1,1.000, 94.000, 66.000
2,2.000, 94.000, 66.000
3,3.000, 94.000, 65.000
4,4.000, 94.000, 65.000
5,5.000, 94.000, 64.000
6,6.000, 94.000, 64.000
7,7.000, 94.000, 64.000
8,8.000, 94.000, 63.000
9,9.000, 94.000, 62.000
10,10.000, 94.000, 62.000
11,11.000, 93.000, 61.000
12,12.000, 93.000, 61.000
13,13.000, 93.000, 61.000
14,14.000, 93.000, 61.000
15,15.000, 93.000, 61.000
16,16.000, 93.000, 61.000
17,17.000, 93.000, 61.000
18,18.000, 93.000, 61.000
19,19.000, 94.000, 61.000
20,20.000, 94.000, 62.000
21,21.000, 93.000, 62.000
22,22.000, 93.000, 62.000
23,23.000, 93.000, 62.000
24,24.000, 93.000, 62.000
25,25.000, 93.000, 62.000
26,26.000, 93.000, 61.000
27,27.000, 93.000, 61.000
28,28.000, 94.000, 62.000
29,29.000, 94.000, 62.000
30,30.000, 94.000, 61.000
31,31.000, 94.000, 61.000
32,32.000, 94.000, 61.000
33,33.000, 94.000, 61.000
34,34.000, 94.000, 61.000
35,35.000, 94.000, 61.000
36,36.000, 94.000, 61.000
37,37.000, 94.000, 61.000
38,38.000, 94.000, 61.000
39,39.000, 94.000, 61.000
40,40.000, 94.000, 61.000
41,41.000, 94.000, 61.000
42,42.000, 94.000, 61.000
43,43.000, 94.000, 61.000
44,44.000, 94.000, 61.000
45,45.000, 94.000, 61.000
46,46.000, 94.000, 61.000
47,47.000, 94.000, 61.000
48,48.000, 94.000, 62.000
49,49.000, 94.000, 62.000
50,50.000, 94.000, 62.000
51,51.000, 94.000, 63.000
52,52.000, 94.000, 63.000
53,53.000, 94.000, 63.000
54,54.000, 94.000, 63.000
55,55.000, 94.000, 63.000
56,56.000, 94.000, 63.000
57,57.000, 94.000, 63.000
58,58.000, 94.000, 62.000
59,59.000, 94.000, 62.000
60,60.000, 94.000, 61.000
61,61.000, 94.000, 61.000
62,62.000, 95.000, 62.000
63,63.000, 95.000, 62.000
64,64.000, 95.000, 62.000
65,65.000, 95.000, 62.000
66,66.000, 95.000, 61.000
67,67.000, 94.000, 61.000
68,68.000, 94.000, 60.000
69,69.000, 94.000, 60.000
70,70.000, 94.000, 59.000
71,71.000, 94.000, 59.000
72,72.000, 94.000, 59.000
73,73.000, 94.000, 59.000
74,74.000, 94.000, 59.000
75,75.000, 94.000, 59.000
76,76.000, 94.000, 59.000
77,77.000, 94.000, 59.000
78,78.000, 94.000, 59.000
79,79.000, 94.000, 59.000
80,80.000, 94.000, 59.000
81,81.000, 94.000, 59.000
82,82.000, 94.000, 59.000
83,83.000, 94.000, 59.000
84,84.000, 94.000, 59.000
85,85.000, 94.000, 60.000
86,86.000, 94.000, 60.000
87,87.000, 95.000, 61.000
88,88.000, 95.000, 62.000
89,89.000, 95.000, 62.000
90,90.000, 95.000, 63.000
91,91.000, 94.000, 64.000
92,92.000, 94.000, 64.000
93,93.000, 94.000, 65.000
94,94.000, 94.000, 65.000
95,95.000, 94.000, 65.000
96,96.000, 94.000, 65.000
97,97.000, 94.000, 64.000
98,98.000, 94.000, 64.000
99,99.000, 94.000, 64.000
100,100.000, 94.000, 65.000
101,101.000, 94.000, 65.000
102,102.000, 94.000, 64.000
103,103.000, 94.000, 65.000
104,104.000, 94.000, 65.000
105,105.000, 94.000, 65.000
106,106.000, 94.000, 64.000
107,107.000, 94.000, 64.000
108,108.000, 94.000, 64.000
109,109.000, 94.000, 63.000
110,110.000, 94.000, 63.000
111,111.000, 94.000, 63.000
112,112.000, 94.000, 63.000
113,113.000, 94.000, 62.000
114,114.000, 93.000, 62.000
115,115.000, 93.000, 63.000
116,116.000, 93.000, 63.000
117,117.000, 94.000, 65.000
118,118.000, 94.000, 64.000
119,119.000, 94.000, 66.000
120,120.000, 94.000, 66.000
121,121.000, 94.000, 65.000
122,122.000, 94.000, 63.000
123,123.000, 93.000, 63.000
124,124.000, 93.000, 63.000
125,125.000, 93.000, 63.000
126,126.000, 93.000, 63.000
127,127.000, 93.000, 63.000
128,128.000, 94.000, 63.000
129,129.000, 94.000, 63.000
130,130.000, 94.000, 63.000
131,131.000, 94.000, 64.000
132,132.000, 94.000, 64.000
133,133.000, 94.000, 64.000
134,134.000, 94.000, 63.000
135,135.000, 94.000, 65.000
136,136.000, 94.000, 67.000
137,137.000, 94.000, 67.000
138,138.000, 94.000, 69.000
139,139.000, 94.000, 68.000
140,140.000, 93.000, 69.000
141,141.000, 93.000, 67.000
142,142.000, 93.000, 66.000
143,143.000, 93.000, 66.000
144,144.000, 93.000, 66.000
145,145.000, 93.000, 65.000
146,146.000, 94.000, 65.000
147,147.000, 94.000, 65.000
148,148.000, 94.000, 65.000
149,149.000, 94.000, 65.000
150,150.000, 94.000, 65.000
151,151.000, 94.000, 64.000
152,152.000, 94.000, 64.000
153,153.000, 94.000, 64.000
154,154.000, 94.000, 63.000
155,155.000, 94.000, 63.000
156,156.000, 94.000, 63.000
157,157.000, 94.000, 62.000
158,158.000, 94.000, 61.000
159,159.000, 93.000, 61.000
160,160.000, 93.000, 61.000
161,161.000, 93.000, 61.000
162,162.000, 93.000, 61.000
163,163.000, 93.000, 61.000
164,164.000, 93.000, 62.000
165,165.000, 93.000, 62.000
166,166.000, 93.000, 63.000
167,167.000, 93.000, 63.000
168,168.000, 93.000, 63.000
169,169.000, 93.000, 63.000
170,170.000, 93.000, 62.000
171,171.000, 93.000, 62.000
172,172.000, 93.000, 62.000
173,173.000, 93.000, 62.000
174,174.000, 93.000, 62.000
175,175.000, 93.000, 63.000
176,176.000, 93.000, 63.000
177,177.000, 93.000, 63.000
178,178.000, 93.000, 63.000
179,179.000, 93.000, 63.000
180,180.000, 94.000, 68.000
181,181.000, 94.000, 68.000
182,182.000, 94.000, 71.000
183,183.000, 94.000, 73.000
184,184.000, 94.000, 72.000
185,185.000, 94.000, 71.000
186,186.000, 94.000, 69.000
187,187.000, 93.000, 68.000
188,188.000, 93.000, 68.000
189,189.000, 93.000, 67.000
190,190.000, 93.000, 67.000
191,191.000, 93.000, 67.000
192,192.000, 93.000, 66.000
193,193.000, 94.000, 66.000
194,194.000, 94.000, 66.000
195,195.000, 94.000, 66.000
196,196.000, 94.000, 66.000
197,197.000, 94.000, 67.000
198,198.000, 94.000, 67.000
199,199.000, 94.000, 67.000
200,200.000, 94.000, 67.000
201,201.000, 94.000, 66.000
202,202.000, 94.000, 65.000
203,203.000, 94.000, 65.000
204,204.000, 94.000, 65.000
205,205.000, 93.000, 65.000
206,206.000, 93.000, 65.000
207,207.000, 93.000, 66.000
208,208.000, 94.000, 65.000
209,209.000, 94.000, 65.000
210,210.000, 93.000, 65.000
211,211.000, 93.000, 65.000
212,212.000, 93.000, 65.000
213,213.000, 93.000, 65.000
214,214.000, 93.000, 65.000
215,215.000, 93.000, 66.000
216,216.000, 93.000, 66.000
217,217.000, 93.000, 66.000
218,218.000, 93.000, 66.000
219,219.000, 93.000, 66.000
220,220.000, 93.000, 67.000
221,221.000, 93.000, 67.000
222,222.000, 93.000, 67.000
223,223.000, 93.000, 67.000
224,224.000, 93.000, 67.000
225,225.000, 93.000, 68.000
226,226.000, 93.000, 67.000
227,227.000, 93.000, 67.000
228,228.000, 93.000, 66.000
229,229.000, 93.000, 66.000
230,230.000, 93.000, 66.000
231,231.000, 93.000, 67.000
232,232.000, 93.000, 69.000
233,233.000, 93.000, 69.000
234,234.000, 93.000, 70.000
235,235.000, 93.000, 68.000
236,236.000, 93.000, 68.000
237,237.000, 93.000, 68.000
238,238.000, 93.000, 68.000
239,239.000, 93.000, 68.000
240,240.000, 93.000, 69.000
241,241.000, 93.000, 69.000
242,242.000, 93.000, 69.000
243,243.000, 93.000, 69.000
244,244.000, 93.000, 69.000
245,245.000, 93.000, 69.000
246,246.000, 92.000, 69.000
247,247.000, 92.000, 68.000
248,248.000, 92.000, 68.000
249,249.000, 92.000, 68.000
250,250.000, 92.000, 68.000
251,251.000, 93.000, 67.000
252,252.000, 93.000, 67.000
253,253.000, 93.000, 68.000
254,254.000, 93.000, 67.000
255,255.000, 93.000, 67.000
256,256.000, 93.000, 67.000
257,257.000, 93.000, 67.000
258,258.000, 93.000, 67.000
259,259.000, 93.000, 67.000
260,260.000, 93.000, 67.000
261,261.000, 93.000, 67.000
262,262.000, 93.000, 67.000
263,263.000, 93.000, 67.000
264,264.000, 93.000, 66.000
265,265.000, 93.000, 66.000
266,266.000, 93.000, 65.000
267,267.000, 93.000, 63.000
268,268.000, 93.000, 63.000
269,269.000, 93.000, 64.000
270,270.000, 93.000, 65.000
271,271.000, 93.000, 66.000
272,272.000, 93.000, 67.000
273,273.000, 93.000, 67.000
274,274.000, 93.000, 68.000
275,275.000, 93.000, 69.000
276,276.000, 93.000, 70.000
277,277.000, 93.000, 71.000
278,278.000, 93.000, 73.000
279,279.000, 93.000, 71.000
280,280.000, 93.000, 69.000
281,281.000, 93.000, 68.000
282,282.000, 93.000, 67.000
283,283.000, 93.000, 67.000
284,284.000, 93.000, 66.000
285,285.000, 93.000, 66.000
286,286.000, 93.000, 66.000
287,287.000, 93.000, 66.000
288,288.000, 93.000, 67.000
289,289.000, 94.000, 67.000
290,290.000, 94.000, 68.000
291,291.000, 94.000, 69.000
292,292.000, 94.000, 71.000
293,293.000, 94.000, 70.000
294,294.000, 94.000, 70.000
295,295.000, 94.000, 70.000
296,296.000, 94.000, 69.000
297,297.000, 93.000, 67.000
298,298.000, 93.000, 67.000
299,299.000, 93.000, 66.000
300,300.000, 93.000, 66.000
301,301.000, 93.000, 70.000
302,302.000, 93.000, 70.000
303,303.000, 94.000, 72.000
304,304.000, 94.000, 71.000
305,305.000, 94.000, 76.000
306,306.000, 94.000, 76.000
307,307.000, 94.000, 76.000
308,308.000, 94.000, 78.000
309,309.000, 94.000, 78.000
310,310.000, 94.000, 78.000
311,311.000, 94.000, 78.000
312,312.000, 94.000, 78.000
313,313.000, 94.000, 78.000
314,314.000, 94.000, 78.000
315,315.000, 94.000, 78.000
316,316.000, 94.000, 78.000
317,317.000, 94.000, 78.000
318,318.000, 94.000, 79.000
319,319.000, 93.000, 79.000
320,320.000, 91.000, 79.000
321,321.000, 91.000, 79.000
322,322.000, 90.000, 79.000
323,323.000, 90.000, 78.000
324,324.000, 89.000, 77.000
325,325.000, 89.000, 76.000
326,326.000, 89.000, 76.000
327,327.000, 89.000, 76.000
328,328.000, 89.000, 77.000
329,329.000, 90.000, 76.000
330,330.000, 90.000, 74.000
331,331.000, 90.000, 73.000
332,332.000, 89.000, 74.000
333,333.000, 89.000, 74.000
334,334.000, 89.000, 72.000
335,335.000, 88.000, 72.000
336,336.000, 88.000, 71.000
337,337.000, 88.000, 71.000
338,338.000, 88.000, 71.000
339,339.000, 88.000, 71.000
340,340.000, 88.000, 70.000
341,341.000, 87.000, 70.000
342,342.000, 88.000, 69.000
343,343.000, 88.000, 69.000
344,344.000, 89.000, 70.000
345,345.000, 90.000, 74.000
346,346.000, 90.000, 74.000
347,347.000, 90.000, 74.000
348,348.000, 91.000, 73.000
349,349.000, 91.000, 73.000
350,350.000, 91.000, 71.000
351,351.000, 91.000, 70.000
352,352.000, 91.000, 70.000
353,353.000, 90.000, 70.000
354,354.000, 90.000, 71.000
355,355.000, 90.000, 71.000
356,356.000, 90.000, 71.000
357,357.000, 89.000, 70.000
358,358.000, 89.000, 70.000
359,359.000, 89.000, 70.000
360,360.000, 89.000, 71.000
361,361.000, 88.000, 71.000
362,362.000, 88.000, 71.000
363,363.000, 88.000, 71.000
364,364.000, 88.000, 71.000
365,365.000, 88.000, 70.000
366,366.000, 88.000, 69.000
367,367.000, 88.000, 69.000
368,368.000, 89.000, 72.000
369,369.000, 89.000, 72.000
370,370.000, 89.000, 72.000
371,371.000, 89.000, 76.000
