,Elapsed time(seconds),SpO2(%),hr (bpm)
0,0.000, 98.000, 99.999
1,1.000, 98.000, 99.999
2,2.000, 98.000, 99.000
3,3.000, 98.000, 99.000
4,4.000, 98.000, 99.000
5,5.000, 98.000, 90.999
6,6.000, 98.000, 86.001
7,7.000, 98.000, 83.000
8,8.000, 98.000, 80.001
9,9.000, 98.000, 79.000
10,10.000, 98.000, 79.000
11,11.000, 98.000, 80.001
12,12.000, 98.000, 80.001
13,13.000, 98.000, 84.001
14,14.000, 98.000, 84.001
15,15.000, 98.000, 85.000
16,16.000, 98.000, 82.001
17,17.000, 98.000, 80.001
18,18.000, 98.000, 78.001
19,19.000, 98.000, 74.001
20,20.000, 98.000, 74.001
21,21.000, 98.000, 74.001
22,22.000, 98.000, 74.001
23,23.000, 98.000, 74.001
24,24.000, 98.000, 73.000
25,25.000, 98.000, 73.000
26,26.000, 98.000, 72.000
27,27.000, 98.000, 72.000
28,28.000, 97.000, 72.000
29,29.000, 97.000, 71.000
30,30.000, 97.000, 71.000
31,31.000, 97.000, 71.000
32,32.000, 97.000, 71.000
33,33.000, 97.000, 71.000
34,34.000, 97.000, 70.000
35,35.000, 97.000, 70.000
36,36.000, 97.000, 69.001
37,37.000, 97.000, 69.001
38,38.000, 97.000, 68.000
39,39.000, 97.000, 69.001
40,40.000, 97.000, 69.001
41,41.000, 97.000, 70.000
42,42.000, 97.000, 70.000
43,43.000, 97.000, 70.000
44,44.000, 97.000, 70.000
45,45.000, 98.000, 69.001
46,46.000, 98.000, 69.001
47,47.000, 97.000, 70.000
48,48.000, 97.000, 70.000
49,49.000, 97.000, 70.000
50,50.000, 98.000, 71.000
51,51.000, 97.000, 71.000
52,52.000, 98.000, 71.000
53,53.000, 97.000, 71.000
54,54.000, 97.000, 71.000
55,55.000, 97.000, 71.000
56,56.000, 97.000, 71.000
57,57.000, 97.000, 71.000
58,58.000, 97.000, 71.000
59,59.000, 97.000, 72.000
60,60.000, 97.000, 72.000
61,61.000, 97.000, 72.000
62,62.000, 97.000, 72.000
63,63.000, 97.000, 72.000
64,64.000, 97.000, 70.000
65,65.000, 97.000, 69.001
66,66.000, 97.000, 68.000
67,67.000, 97.000, 68.000
68,68.000, 97.000, 68.000
69,69.000, 97.000, 68.000
70,70.000, 97.000, 69.001
71,71.000, 97.000, 68.000
72,72.000, 97.000, 68.000
73,73.000, 97.000, 68.000
74,74.000, 97.000, 68.000
75,75.000, 97.000, 68.000
76,76.000, 97.000, 68.000
77,77.000, 97.000, 67.001
78,78.000, 97.000, 67.001
79,79.000, 97.000, 67.001
80,80.000, 97.000, 68.000
81,81.000, 97.000, 69.001
82,82.000, 97.000, 70.000
83,83.000, 96.000, 71.000
84,84.000, 96.000, 71.000
85,85.000, 96.000, 72.000
86,86.000, 96.000, 71.000
87,87.000, 96.000, 70.000
88,88.000, 96.000, 70.000
89,89.000, 96.000, 69.001
90,90.000, 96.000, 69.001
91,91.000, 96.000, 69.001
92,92.000, 96.000, 69.001
93,93.000, 96.000, 69.001
94,94.000, 96.000, 70.000
95,95.000, 96.000, 69.001
96,96.000, 96.000, 69.001
97,97.000, 96.000, 68.000
98,98.000, 96.000, 69.001
99,99.000, 96.000, 69.001
100,100.000, 96.000, 70.000
101,101.000, 96.000, 70.000
102,102.000, 96.000, 70.000
103,103.000, 96.000, 71.000
104,104.000, 96.000, 71.000
105,105.000, 96.000, 71.000
106,106.000, 96.000, 71.000
107,107.000, 96.000, 71.000
108,108.000, 96.000, 71.000
109,109.000, 96.000, 71.000
110,110.000, 96.000, 70.000
111,111.000, 96.000, 70.000
112,112.000, 96.000, 69.001
113,113.000, 96.000, 69.001
114,114.000, 96.000, 69.001
115,115.000, 96.000, 69.001
116,116.000, 96.000, 68.000
117,117.000, 96.000, 68.000
118,118.000, 96.000, 68.000
119,119.000, 96.000, 68.000
120,120.000, 96.000, 68.000
121,121.000, 96.000, 67.001
122,122.000, 96.000, 67.001
123,123.000, 96.000, 67.001
124,124.000, 96.000, 67.001
125,125.000, 96.000, 67.001
126,126.000, 96.000, 67.001
127,127.000, 96.000, 68.000
128,128.000, 96.000, 68.000
129,129.000, 96.000, 68.000
130,130.000, 96.000, 69.001
131,131.000, 96.000, 69.001
132,132.000, 96.000, 68.000
133,133.000, 96.000, 68.000
134,134.000, 96.000, 68.000
135,135.000, 96.000, 68.000
136,136.000, 96.000, 68.000
137,137.000, 96.000, 68.000
138,138.000, 96.000, 68.000
139,139.000, 96.000, 69.001
140,140.000, 96.000, 70.000
141,141.000, 96.000, 71.000
142,142.000, 96.000, 71.000
143,143.000, 96.000, 70.000
144,144.000, 96.000, 70.000
145,145.000, 96.000, 68.000
146,146.000, 96.000, 68.000
147,147.000, 96.000, 67.001
148,148.000, 96.000, 67.001
149,149.000, 96.000, 68.000
150,150.000, 96.000, 69.001
151,151.000, 96.000, 69.001
152,152.000, 96.000, 70.000
153,153.000, 96.000, 70.000
154,154.000, 96.000, 70.000
155,155.000, 96.000, 69.001
156,156.000, 96.000, 69.001
157,157.000, 96.000, 68.000
158,158.000, 96.000, 67.001
159,159.000, 96.000, 67.001
160,160.000, 96.000, 67.001
161,161.000, 96.000, 67.001
162,162.000, 96.000, 68.000
163,163.000, 96.000, 69.001
164,164.000, 96.000, 69.001
165,165.000, 96.000, 69.001
166,166.000, 96.000, 69.001
167,167.000, 96.000, 69.001
168,168.000, 96.000, 69.001
169,169.000, 96.000, 69.001
